date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,prev_price
9/15/2013,Wheat flour - Retail,KG,cereals and tubers,40.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
10/15/2013,Wheat flour - Retail,KG,cereals and tubers,40.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.25
11/15/2013,Wheat flour - Retail,KG,cereals and tubers,43.12,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.5
12/15/2013,Wheat flour - Retail,KG,cereals and tubers,47.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,43.12
1/15/2014,Wheat flour - Retail,KG,cereals and tubers,47.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,47.0
2/15/2014,Wheat flour - Retail,KG,cereals and tubers,47.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,47.0
3/15/2014,Wheat flour - Retail,KG,cereals and tubers,47.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,47.0
4/15/2014,Wheat flour - Retail,KG,cereals and tubers,47.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,47.25
5/15/2014,Wheat flour - Retail,KG,cereals and tubers,44.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,47.5
6/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,44.5
7/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
8/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
9/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
10/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
11/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
12/15/2014,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
1/15/2015,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
2/15/2015,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
3/15/2015,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
4/15/2015,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
5/15/2015,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
6/15/2015,Wheat flour - Retail,KG,cereals and tubers,39.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,41.0
7/15/2015,Wheat flour - Retail,KG,cereals and tubers,38.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,39.0
8/15/2015,Wheat flour - Retail,KG,cereals and tubers,38.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,38.0
9/15/2015,Wheat flour - Retail,KG,cereals and tubers,38.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,38.0
10/15/2015,Wheat flour - Retail,KG,cereals and tubers,38.2,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,38.0
11/15/2015,Wheat flour - Retail,KG,cereals and tubers,39.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,38.2
12/15/2015,Wheat flour - Retail,KG,cereals and tubers,39.8,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,39.0
1/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,39.8
2/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.5
3/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
4/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
5/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
6/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
7/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
8/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
9/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
10/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
11/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
12/15/2016,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
1/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
2/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
3/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
4/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
5/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
6/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
7/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
8/15/2017,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
